AuthorityName,authority_id,Region,Sector,FOISA requests,FOISA closed - unclear,FOISA closed - withdrawn,FOISA fees notice,FOISA - fees paid,FOISA response on time,FOISA response late,FOISA - faliure to respond,FOISA refused - cost,FOISA - vexatious,FOISA - repeated,FOISA - full release,FOISA - none released,FOISA - some released,FOISA - none held ,FOISA - no confirm/deny,EIR requests,EIR closed - unclear ,EIR closed - withdrawn,EIRs fees notice,EIRs - fees paid,EIRs response on time,EIRs response late,EIRs - failure to respond,EIR timescale extended,EIRs refused - cost,EIRs - manifestly unreasonable,EIRs - full release,EIRs - none released ,EIRs - some released,EIRs - none held,EIRs - no confirm/deny,Subject Access Requests,FOISA reviews ,FOISA review - on time,FOISA review - late response,FOISA review - failure to respond,FOISA review - wholly/partially upheld,FOISA review - substituted decision,FOISA review - decision reached ,EIRs reviews,EIRs review - on time,EIRs review - late response ,EIRs review - failure to respond,EIR review - upheld,EIR review - not upheld,Otherwise accessible,Publication Scheme ,Disclosure prohibited: enactment ,Disclosure prohibited: EU obligation,Disclosure prohibited: Contempt of Court,Future publication: 12 weeks,Future publication: programme of research,Substantial prejudice to UK relations ,Formulation/development of government policy,Ministerial communications,Advice by Law Officers,Operation of Ministerial private office,Substantial prejudice to collective responsibility of Scottish Ministers,Substantial inhibition to free and frank provision of advice,Substantial inhibition to free and frank exchange of views,Substantial prejudice to effective conduct of public affairs,National security,Substantial prejudice to defence ,Substantial prejudice to international relations,Confidential information obtained from abroad,Trade secret,Substantial prejudice to commercial interests,Substantial prejudice to the economic interests of the UK,Substantial prejudice to the financial interests of a UK administration,Information held for the purposes of a criminal investigation,Information held for ongoing Fatal Accident Inquiry,Information held regarding cause of death,Information relating to the obtaining of information from confidential sources,Information held for purposes of civil proceedings arising out of investigations,Substantial prejudice to prevention or detection of crime,Substantial prejudice to apprehension or prosecution of offenders,Substantial prejudice to administration of justice,Substantial prejudice to assessment or collection of tax or duty,Substantial prejudice to operation of immigration controls,Substantial prejudice to maintenance of security and good order in prisons,Substantial prejudice to the exercise by a public authority for any of its functions,Substantial prejudice to civil proceedings brought by an authority,Confidentiality of communications,Actionable breach of confidence,Court records,Court records: inquiry or arbitration,Personal data of the applicant,Third party personal data ,Personal census information,Deceased person's health record,Endangerment to health or safety,Environmental information ,Substantial prejudice to audit function,Communications with the Royal Family and honours,Material in course of completion,Internal Communications,Substantial prejudice to international relations public safety etc.,Substantial prejudice to course of justice etc.,Substantial prejudice to intellectual property rights,Substantial prejudice to confidentiality of proceedings,Substantial prejudice to confidentiality of commercial or industrial information ,Substantial prejudice to the interests of a third party,Substantial prejudice to the protection of the environment,Neither confirm nor deny whether environmental information held,Personal data of the applicant,Third party personal data,Neither confirm or deny whether personal data held
Aberdeen City Council,2,Grampian,Local Government,1267,116,14,0,0,1068,98,10,20,0,1,473,180,347,104,2,609,46,3,0,0,537,43,1,3,4,1,247,32,238,37,0,171,19,16,3,0,11,4,6,16,15,1,0,7,9,92,59,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,3,5,0,0,69,94,0,0,1,491,0,0,0,3,0,6,0,2,7,0,0,0,8,94,0
Aberdeen City Licensing Board,3,Grampian,Local Government,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aberdeenshire Council and Licensing Board,5,Grampian,Local Government,1821,16,3,0,0,1767,44,0,45,1,74,1400,32,37,118,2,62,0,0,4,4,62,0,0,3,0,0,58,0,0,4,0,129,19,18,1,0,19,0,0,0,0,0,0,0,0,5,,,,,,,,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,,,19,4,,,,,,,,,,,,,,,,,,,
Accounts Commission for Scotland,7,National,Others e.g. NDPBs,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Angus Council,9,Tayside,Local Government,1522,13,8,0,0,912,243,30,9,0,1,739,57,507,110,2,24,0,0,0,0,15,4,1,2,0,0,11,2,4,3,0,85,6,6,0,0,4,0,1,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,1,,,,,,,,
Angus Licensing Board,10,Tayside,Local Government,1,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argyll and Bute Council,12,Strathclyde,Local Government,1379,12,20,0,0,1280,99,0,5,0,0,1102,95,129,126,0,145,1,6,0,0,117,28,0,0,0,1,54,34,44,41,0,34,8,5,3,0,5,1,1,4,3,1,0,1,3,28,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,4,11,0,0,0,0,0,0,3,0,0,1,0,1,5,0,0,0,0,2,0
Argyll and Bute Licensing Board,13,Strathclyde,Local Government,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Ayrshire Valuation Joint Board,14,Ayrshire,Local Government,23,,,,,23,,,,,,5,,15,3,,0,,,,,,,,,,,,,,,,4,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,13,,,,1,,,,,,,,,,,,,,,,,,,
Assessor for Central Scotland Valuation Joint Board and Central Valuation Joint Board,15,Central,Local Government,31,0,0,0,0,26,2,0,0,1,0,7,1,20,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor & Electoral Registration Officer for Dumfries and Galloway,16,Dumfries and Galloway,Local Government,8,0,0,0,0,8,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Fife Council,18,Fife,Local Government,19,0,2,0,0,18,0,0,0,0,0,6,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Grampian Valuation Joint Board & Grampian Valuation Joint Board,20,Grampian,Local Government,81,0,0,0,0,6,0,0,0,0,0,6,1,73,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,73,0,0,0,0,0,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Highland and Western Isles Valuation Joint Board,21,Highland and Islands,Local Government,59,0,0,0,0,59,0,0,0,0,0,1,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Lanarkshire Valuation Joint Board,22,Strathclyde,Local Government,8,0,0,0,0,8,0,0,0,0,0,3,0,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,3,,,,,,,,,,,,,,,,,,,
Assessor for Lothian Valuation Joint Board and the Lothian Valuation Joint Board,23,Lothian and Borders,Local Government,11,0,0,0,0,12,0,0,1,0,0,6,1,2,2,0,,,,,,1,0,0,0,0,0,1,,,,,2,1,1,0,0,1,0,0,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Assessor for Scottish Borders Council,26,Lothian and Borders,Local Government,17,0,0,0,0,17,0,0,0,0,0,4,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Assessor for Tayside Valuation Joint Board,27,Tayside,Local Government,35,0,0,0,0,33,0,0,0,0,0,6,1,27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audit Scotland,28,National,Others e.g. NDPBs,42,0,0,0,0,42,0,0,0,0,0,19,4,9,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Auditor General for Scotland,29,National,Others e.g. NDPBs,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ayrshire and Arran Health Board,31,Ayrshire,National Health Service,676,1,5,,,593,61,2,49,,,405,33,196,17,,9,,,,,9,,,,3,,5,4,,,,7,,1,,,,,1,,,,,,,12,7,,,,1,,,,,,,,,,5,,,,,,4,,,,,,,,,,,,,,,,,,,,8,58,,,,,,,,,,,,,,,,,,,
Ayrshire Valuation Joint Board,32,Ayrshire,Local Government,1,,,,,1,,,,,,1,,,,,0,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Board of Trustees for the National Galleries of Scotland,34,National,Others e.g. NDPBs,25,1,1,0,0,18,6,0,0,0,0,15,2,5,1,0,1,,,,,,1,,,,,1,,,,,2,0,,,,,,,0,,,,,,2,3,,,,,,,,,,,,,1,2,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Board of Trustees of the National Museums of Scotland,35,National,Others e.g. NDPBs,18,,,,,18,,,,,,13,,3,2,,0,,,,,,,,,,,,,,,,3,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Board of Trustees of the Royal Botanic Garden Edinburgh,36,Lothian and Borders,Others e.g. NDPBs,10,0,0,0,0,10,0,0,0,0,0,9,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bord na Gaidhlig,37,National,Others e.g. NDPBs,9,0,0,0,0,8,1,0,1,0,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Borders College,38,Lothian and Borders,Educational Institutions,37,0,0,0,0,37,0,0,0,0,0,19,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Borders Health Board,39,Lothian and Borders,National Health Service,642,3,3,0,0,430,6,0,73,0,0,352,0,206,57,0,5,,1,,,3,0,,0,0,0,2,,1,,,515,2,2,,,2,,,0,,,,,,40,,,,,2,,,,,,,,1,,,,,,,,2,,,,,,,,,,,,,,,,,,,,3,67,,,,,,,,,,,,,,,,,,,
Cairngorms National Park Authority,40,Highland and Islands,Others e.g. NDPBs,19,0,0,0,0,9,1,0,0,0,0,19,0,0,0,0,14,0,0,0,0,4,1,0,0,0,0,14,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City of Edinburgh Council,45,Lothian and Borders,Local Government,1660,98,16,2,0,1431,356,0,109,2,4,655,429,498,459,0,968,31,3,25,8,871,177,0,20,5,19,459,209,304,271,0,525,86,72,10,0,46,21,15,50,44,5,0,23,26,151,1,8,0,0,2,0,0,0,0,0,0,0,0,2,51,0,0,0,0,0,34,0,0,1,0,0,0,0,3,0,2,0,0,0,3,0,2,2,0,0,20,91,0,0,2,0,0,0,3,1,3,14,13,5,21,5,1,0,20,153,0
City of Edinburgh Licensing Board,46,Lothian and Borders,Local Government,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clackmannanshire Council and Licensing Board,47,Central,Local Government,1218,13,,,,1101,102,3,3,5,,1105,8,15,26,,2,,,,,2,,,1,,,2,,,,,,16,16,,,12,1,3,,,,,,,43,,,,,1,,,,,,,,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,1,4,,,,,,,,,,,,,,,,,,,
Comhairle nan Eilean Siar,51,Highland and Islands,Local Government,1347,20,3,11,0,1281,41,25,6,0,0,1303,0,7,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,15,14,0,1,11,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crofting Commission,52,National,Others e.g. NDPBs,11,,,,,11,,,,,,8,,1,1,,31,2,1,3,,27,,,,,,16,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,26,,,,,,,,,,1,,,10,12,
Crown Office and Procurator Fiscal Service,53,National,Non Ministerial Officeholders,268,2,10,0,0,224,11,0,24,2,2,41,47,43,80,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,188,19,13,0,0,11,1,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,7,7,0,1,0,0,0,0,0,0,0,18,0,8,2,0,6,6,11,0,0,0,0,0,0,0,0,0,3,35,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumfries and Galloway College,55,Dumfries and Galloway,Educational Institutions,20,0,0,0,0,20,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dumfries and Galloway Council,56,Dumfries and Galloway,Local Government,1374,0,2,0,0,967,225,105,8,0,0,639,241,248,298,0,100,0,1,0,0,68,22,5,0,1,0,49,8,19,15,0,5,16,16,0,0,8,4,0,4,4,0,0,2,0,22,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,92,0,0,0,0,0,0,0,1,0,0,2,0,1,1,0,0,0,2,5,0
Dumfries and Galloway Licensing Board,57,Dumfries and Galloway,Local Government,15,0,0,0,0,11,2,2,0,0,0,4,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dumfries and Galloway Health Board,58,Dumfries and Galloway,National Health Service,644,4,2,,,444,179,38,,1,,388,102,110,103,2,16,,,,,9,1,,,,,6,2,2,3,,823,35,26,7,2,22,2,6,,,,,,,4,,1,,,2,,,,,,,,,,2,,,,,,,,,,,,1,,,,,,,,1,,2,2,,,4,32,,,2,,,,,,,,,,1,,,,,,
Dunbartonshire and Argyll and Bute Valuation Joint Board and Assessor Dunbartonshire and Argyll and Bute Valuation Joint Board,59,Strathclyde,Local Government,56,0,0,0,,56,,,,,,6,,48,2,,0,,,,,,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,47,,,,,,,,,,,47,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,
Dundee City Council and Licensing Board,60,Tayside,Local Government,1306,11,4,0,0,1185,64,11,57,1,0,856,168,217,188,0,474,1,3,12,0,399,35,7,0,2,0,348,49,38,41,0,64,12,5,2,0,1,3,0,12,7,1,0,3,3,34,0,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,18,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,6,100,0,0,0,0,0,0,0,0,2,1,0,0,5,2,0,0,0,4,0
East Ayrshire Council,63,Ayrshire,Local Government,1352,12,12,1,0,1317,35,0,10,0,1,991,10,171,136,0,114,0,3,2,0,109,5,0,13,2,0,86,4,3,3,0,33,2,2,0,0,0,2,0,3,3,0,0,3,0,1,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,1,,,,,,,,,
East Ayrshire Licensing Board,64,Ayrshire,Local Government,3,0,0,0,0,3,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Dunbartonshire Council and Licensing Board,65,Strathclyde,Local Government,1407,58,3,0,0,1372,36,0,6,0,1,896,31,273,135,0,181,3,0,0,0,179,2,0,0,3,0,151,7,14,3,0,67,9,8,1,0,4,2,3,2,2,0,0,1,1,54,,2,,,7,,,,,,,3,,,,,,,,7,,,,,,,,,,,,,,,,,3,,,,178,,,,,,,,1,3,,,,2,3,2,,,5,,
East Lothian Council,67,Lothian and Borders,Local Government,1242,17,3,2,0,406,619,131,3,0,0,544,246,186,145,0,197,1,1,4,1,39,126,21,0,0,0,84,31,47,10,0,4,54,39,15,0,7,2,43,18,13,5,0,2,16,103,0,4,0,0,3,0,0,0,0,0,0,0,0,2,3,4,0,0,0,0,7,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,0,0,4,26,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,2,5,0
East Lothian Licensing Board,68,Lothian and Borders,Local Government,5,0,0,0,0,1,2,2,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Renfrewshire Council and Licensing Board,69,Strathclyde,Local Government,1128,3,0,2,0,961,150,15,11,3,1,845,101,165,68,0,328,0,0,5,0,266,50,4,0,0,0,221,37,66,41,0,34,9,7,2,0,6,3,0,10,10,0,0,9,1,110,0,1,0,0,10,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,60,0,0,0,0,0,0,2,0,0,1,0,1,6,0,0,0,1,2,0
Falkirk Council,71,Central,Local Government,1408,21,10,3,0,1200,190,11,10,0,2,997,148,164,175,20,159,0,0,0,0,140,19,0,13,0,0,139,1,13,3,0,177,13,5,7,0,4,3,4,8,1,7,0,0,1,21,0,8,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,10,28,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkirk Licensing Board,72,Central,Local Government,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fife Council and Licensing Board,73,Fife,Local Government,2141,30,16,0,0,1794,329,19,31,0,0,1036,799,301,127,0,589,6,3,0,0,482,104,5,16,2,1,361,68,132,36,0,565,71,64,7,0,20,15,22,44,41,3,0,21,23,77,,2,,,6,,,,,,,,,,9,,,,,,6,,,1,,,,,,,,,,,,,14,20,1,,90,56,,1,,426,,,5,14,1,2,1,7,5,1,,,1,29,0
Fife Health Board,75,Fife,National Health Service,337,2,0,0,87,150,96,0,21,0,0,144,57,59,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,1,0,5,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
